"﻿""Compétition""";Phase;Date;Heure;Lieu;Rencontre;Arbitre principal;Juge de ligne;Arbitre;Superviseur;Arbitre principal 2;Juge de ligne 2;Arbitre 2
Synerglace Ligue Magnus;Saison régulière;18/01/2024;20:00;Briançon - René Froger;93003S - Diables Rouges Briançon 93003 / 72001S - ANGLET HORMADI Ligue MAGNUS;M SCOLARI Benjamin;M BRIOLAT Eric;;;M HAUCHART Alexandre;Mme CHEYROUX Alexia;
Synerglace Ligue Magnus;Saison régulière;19/01/2024;20:15;Amiens - Le Coliseum;22001S - AMIENS HOCKEY ELITE / 82007S - BRULEURS DE LOUPS MAGNUS SENIORS;M FURET Yann;M LABOULAIS Maxime;;;M PEYRE Julien;M SIMON Thomas;
Synerglace Ligue Magnus;Saison régulière;19/01/2024;20:15;Rouen - Île Lacroix;23001S - 23001S ROUEN HOCKEY ELITE 76 / 11013S - LES JOKERS SLM;M DEHAEN Pierre;M CONSTANTINEAU Nicolas;;;M BARCELO Geoffrey;M DEBUCHE Cyril;
U15;Zone Ouest conférence C;20/01/2024;11:30;Montpellier - Vegapolis;E0078 - OCCITANIE U15B / E0078 - OCCITANIE U15C;;;;;;;
U17 Excellence;Saison régulière zone Sud-est;20/01/2024;16:00;Vaujany - Patinoire du pôle sports et loisirs;E0195 - VAUJANY - GRENOBLE / 82028 - ANNECY;;;M GRANDGIRARD Reynald;;;;M BRONDEX Eric
U15;Zone Ouest conférence A;20/01/2024;16:45;Cholet - Glisséo;52002 - CHOLET / E0078 - TBM U15;;;;;;;
U15;Zone Sud-est Saison régulière;20/01/2024;17:30;Roanne - Fontalon;E0123 - HCLR 3 / E0073 - HC SAVOIE 2;;;;;;;
Division 2;Saison régulière;20/01/2024;17:30;Amiens - Le Coliseum;22001S - 22001S AMIENS 2 / 21005 - REIMS;M LE BERRE Frédéric;M DEBUCQUET Antoine;;M BOCQUET Didier;;M MAILLARD Hugo;
U17 Elite;Saison régulière;20/01/2024;17:35;Villard-de-Lans - André Ravix;82022 - 82022 LES OURS DE VILLARD DE LANS / E0123 - HCLR U17;M GOLICIC Bostjan;Mme CHEYROUX Alexia;;;;M L'HEUREUX Marc;
U17 Elite;Saison régulière;20/01/2024;17:35;Gap - Alp'Arena;93006 - RAPACES DE GAP U17 / 11013 - U17 élite Cergy Pontoise;M BRIOLAT Eric;M HALLADJ Farid;;;;M CREUX-BEAUGIRAUD Yohann;
Division 3;Saison régulière;20/01/2024;17:40;Brive - patinoire municipale;74001 - BRIVE / 72001 - ANGLET HORMADI D3;;;M MARTIN Pascal;;;;M NEBUS Theo
U17 Excellence;Zone ouest saison régulière;20/01/2024;17:50;Angers IceParc;52007 - ANGERS / E0078 - OCCITANIE;;;M FONTENEAU Paul;;;;M LE ROY Tristan
U20 Elite;Saison régulière;20/01/2024;17:55;Bordeaux - Mériadeck;72003 - Boxers de Bordeaux U20 Elite / E0118 - Entente Alsace Mulhouse Colmar U20 Elite;M MARTIN Kylian;M PRAGOUT Maxime;;;;M RANDRIANARIVO Dominique;
Division 3;Saison régulière;20/01/2024;18:00;Nantes - Petit Port;52005 - Corsaires de Nantes 2 / 52002 - Cholet 2;;;M CORREIA Aurélien;;;;M MARCHAND Antoine
Division 3;Saison régulière;20/01/2024;18:15;Orléans - patinoire municipale;24004 - Orléans Division 3 / 25001 - Caen Division 3;;;M PIEDIGROSSI Nicolas;;;;M LAPAQUE François
Division 3;Saison régulière;20/01/2024;18:15;La Garde - patinoire intercommunale;93012 - D3 Toulon / E0073 - HC SAVOIE;;;M HEMMERY Frédéric;;;;M VAISSAIRE Laurent
Division 3;Saison régulière;20/01/2024;18:15;Meudon-la-Forêt - Patinoire municipale;11019 - Comètes de Meudon / 11005 - Caribous de Dammarie-lès-Lys;;;M DEYIRMENDJIAN Thibault;;;;M PONCOT Yohann
Division 3;Saison régulière;20/01/2024;18:15;Chalons-en-Champagne - Cité glace;21002 - Hockey club Châlonnais / 41008 - 41008 METZ HOCKEY CLUB;;;M MONCOZET Christophe;;;;M GIRARD Steeve
Division 2;Saison régulière;20/01/2024;18:20;Evry - François Le Comte (Agora);11025 - 11025 EVH91 Division 2 / 11007 - D2 Français Volants;M PERONNIN Stéphane;M LE MONNIER Julien;;;;M VILLARD Vincent;
Division 1;Saison régulière;20/01/2024;18:30;Neuilly-sur-Marne - Patinoire municipale;11015 - NEUILLY SUR MARNE DIVISION 1 / 41002 - Division 1 Epinal;M ICARD Damien;M MERCIER-LANDRY Pierre;;;;M KIRSCHENBAUM Johan;
Division 2;Saison régulière;20/01/2024;18:30;La-Roche-sur-Yon - Arago;52004 - 52004 - La Roche sur Yon / 52007 - ANGERS 2;M DOUCHY Jérémie;M TRONET Pierre;;;;M LOOS Mathieu;
U17 Elite;Saison régulière;20/01/2024;18:30;Viry-Chatillon - Patinoire des Lacs de l'Essonne;11025 - 11025 EVH91 U17 Elite / 11009 - u17 Elite COURBEVOIE;;;M ROCHIER Philippe;;;;M MOUILLERON Stéphane
U17 Elite;Saison régulière;20/01/2024;18:30;Strasbourg - Iceberg;E0032 - Entente Alsace U17 Elite / 22001 - HCAS U 17;M GONCALVES Clément;M LELIEVRE Thibault;;M ROUSSELIN Stéphane;;M FAFRED Bastien;
Division 3;Saison régulière;20/01/2024;18:30;Champigny-sur-Marne - patinoire municipale;11030 - Champigny HC / 99001 - Tornado Luxembourg asbl;;;M MALTAVERNE Christian;;;;M GERMOND Matteo
Division 3;Saison régulière;20/01/2024;18:30;Boulogne-Billancourt;"11001 - Tigres de l'ACBB ""D3"" / E0230 - WASQUEHAL";;;Mme PERONNIN Laura;;;;M TOCQUEVILLE Florian
U17 Elite;Saison régulière;20/01/2024;18:30;Wasquehal - Serge Charles;E0161 - ENTENTE FLANDRES 59 / 41002 - EPINAL;;;M KOUROUMA Sakoba;;;;M DUVILLE Guillaume
Division 1;Saison régulière;20/01/2024;18:40;Valenciennes - Valigloo;31004 - D2 Valenciennes / 53001 - Brest Division 1;M GASNIER Mickaël;M THORRIGNAC Lancelot;;;;M BAUDOIN Charles;
Championnat féminin sénior;Saison régulière;20/01/2024;18:45;Dunkerque - Michel Raffoux;E0232 - FLANDRES / 11025 - 11025 EVH91 Féminines;;;M BAUERLE Damien;;;;
U17 Excellence;Saison régulière Est;20/01/2024;19:00;Dijon - Trimolet;E0130 - BESANCON - DIJON / E0052 - ALSACE;;;M BERGERON Nicolas;;;;M ROUECHE Laurent
Division 3;Saison régulière;20/01/2024;19:15;Nice - Jean Bouin;93008 - NICE D3 / 93016 - Les Castors d'Avignon;;;M POIZAT Jérémie;;;;M BORTINO Jean Michel
Division 3;Saison régulière;20/01/2024;19:15;Poitiers - patinoire municipale;54002 - Stade Poitevin HC Divison 3 / 53006 - D3 - Rennes;;;M HATTON Thomas;;;;M GARCIA LIMA Guido
Division 2;Saison régulière;20/01/2024;19:30;Colmar - Patinoire municipale;E0041 - Titans D2 / 23001 - Rouen Division 2;M GEOFFROY Sébastien;Mme TORRIBIO ROUSSELIN Sueva;;;;M AMAN Matthias;
Division 2;Saison régulière;20/01/2024;19:30;Blagnac Toulouse - Jacques Raynaud;73002 - TOULOUSE BLAGNAC / 82018 - ROANNE D2;M TELLIEZ Pascal;M DESSOLAIN Franck;;;;M HASPOT David;
Division 2;Saison régulière;20/01/2024;19:30;Courbevoie - Thierry Monier;11009 - D2 Courbevoie / 41004 - Division 2 Amneville;M COLLIN Jérémie;M THIBOUVILLE Enguerrand;;M DURAND Gilles;;Mme BOURDON Gaëlle;
Division 2;Saison régulière;20/01/2024;19:30;Vaujany - Patinoire du pôle sports et loisirs;E0122 - VAUJANY-GRENOBLE / 82021 - V.H.G. Valence;M ROMMEVAUX Mikaël;M DONAT-MAGNIN Alexandre;;;;M DERKAOUI Tristan;
U17 Elite;Saison régulière;20/01/2024;19:45;Anglet - La Barre;72001 - ANGLET HORMADI U17 ELITE / 25001 - Caen U17 Elite;M GARBAY Laurent;M BRAUD Tao;;;;M NORDMAN Leif;
Championnat féminin sénior;Saison régulière;20/01/2024;20:00;Lyon - Charlemagne;82015 - Lyon féminine / 82007 - BRÛLEURS DE LOUPS FÉMININES ELITE;;;M CATARINO Jean;;;;
Division 1;Saison régulière;20/01/2024;20:00;Tours - Patinoire du centre municipal des sports;24007 - LES REMPARTS DE TOURS Division 1 / 82004S - Éléphants CHAMBERY D1;M GERMANEAUD Bastien;M GISSLER Louis;;;;M DELSARTE Alban;
Championnat féminin sénior;Saison régulière;20/01/2024;20:00;Toulouse - Alex JANY;E0084 - Rafales / E0021 - Bordeaux-Anglet;;;M ELBAZE Nicolas;;;;
Division 3;Saison régulière;20/01/2024;20:00;Patinoire de Nimes;91008 - NIMES HOCKEY CLUB / 43002 - BESANÇON;;;M HAGOPIAN Didier;;;;M POUSSIERE Jonathan
Division 1;Saison régulière;20/01/2024;20:00;Cholet - Glisséo;52002 - DOGS DE CHOLET / 11019 - Comètes de Meudon D1;M FESSIER Samuel;M HONORE Romain;;;;M MAUDET Timothée;
Division 2;Saison régulière;20/01/2024;20:30;Clermont-Ferrand;83001 - HCCA Les Sangliers Arvernes / E0240 - HCMP;M GRABIT Alexis;M BERGAMELLI Enzo;;;;M THIEBAULT Leevan;
Division 3;Saison régulière;20/01/2024;20:30;Compiègne - patinoire municipale;22002 - HCC Compiègne D3 / 24007 - LES REMPARTS DE TOURS Division 3;;;M BECRET Félicien;;;;M MAIGNAN Gwendal
Division 1;Saison régulière;20/01/2024;20:30;Morzine - Skoda Arena;E0065 - HCMA D1 / E0127 - Strasbourg Etoile Noire;M ARBITRE SUISSE 2;M ARBITRE SUISSE 1;;;M METAIS Jérémy;M TCHEKACHEV David;
Division 1;Saison régulière;20/01/2024;20:30;Caen La Mer;25001 - Caen Division 1 / 52005 - D1 Corsaires de Nantes;M AURAT Florian;M MESSIER Nicolas;;;;M SMEECKAERT Aurélien;
Division 2;Saison régulière;20/01/2024;20:30;Annecy - Jean Régis;82028 - Annecy Division 2 / 82015 - LYON DIVISION 2;M GEORGE Yohan;M FONTAINE Gildas;;;;M MERLE Thomas;
Division 2;Saison régulière;20/01/2024;20:30;Villard-de-Lans - André Ravix;82022 - VILLARD DE LANS / 91003 - Vipers D2;M POPA Adrian;M AUMERAS Benjamin;;;;M NEURAZ Steven;
Championnat féminin sénior;Saison régulière;21/01/2024;10:40;Toulouse - Alex JANY;E0084 - Rafales / E0021 - Bordeaux-Anglet;;;M ELBAZE Nicolas;;;;
U17 Excellence;Zone ouest saison régulière;21/01/2024;11:45;Cholet - Glisséo;52002 - CHOLET / 53001 - BREST;;;M GIRAULT Kevin;;;;M GARCIA LIMA Guido
U15;Zone Ouest conférence B;21/01/2024;12:15;La-Roche-sur-Yon - Arago;52004 - La roche/Yon / E0206 - Le Mans - Poitiers;;;;;;;
U20 Excellence;Zone nord-est Grand-est;21/01/2024;12:15;Besançon - Lafayette;E0237 - DIJON - BESANCON / E0135 - LUXEMBOURG - AMNEVILLE - METZ;;;M BERGERON Nicolas;;;;M ROUECHE Laurent
U20 Elite;Saison régulière;21/01/2024;12:20;Nantes - Petit Port;52005 - U20 Eli Corsaires de Nantes / 41002 - U20 Elite Epinal;M ROHWEDDER Raphaël;M TOCQUEVILLE Florian;;;;M MAUDET Timothée;
U15;Zone Ouest conférence B;21/01/2024;12:30;Angers IceParc;52007 - ANGERS U15 B / 54001 - NIORT U15 EXCELENCE 5vs5;;;;;;;
U15;Zone Ouest conférence C;21/01/2024;12:30;Bordeaux - Mériadeck;72003 - Boxers de Bordeaux U15 A / 72001 - ANGLET HORMADI U15 B;;;;;;;
U15;Zone Ouest conférence B;21/01/2024;12:45;Tours - Patinoire du centre municipal des sports;E0184 - TOURS/ORLEANS/BOURGUEIL / E0228 - RENNES;;;;;;;
Matchs amicaux U17;Matchs amicaux U17;21/01/2024;13:00;Troyes - patinoire des 3 Seine;11111 - EDF U16 Fém / 11111 - EDL U15;;;M GIRARD Steeve;;;;M MAIGNAN Gwendal
U20 Elite;Saison régulière;21/01/2024;13:40;Amiens - Le Coliseum;22001 - HCAS U20 / 82022 - 82022 LES OURS DE VILLARD DE LANS U20;M LAPAQUE François;M GERMOND Matteo;;M BOCQUET Didier;;M FAFRED Bastien;
Coupe de France;Coupe de France;21/01/2024;15:00;Paris Bercy - Sonja Henie;31002 - DUNKERQUE DIVISION 1 / 82007S - BRULEURS DE LOUPS MAGNUS SENIORS;M DEHAEN Pierre;M CONSTANTINEAU Nicolas;;;M BARCELO Geoffrey;M DEBUCHE Cyril;
U20 Elite;Saison régulière;21/01/2024;16:00;Angers IceParc;52007 - ANGERS U20 ELITE / 25001 - Caen U20 Elite;M PERONNIN Stéphane;M VILLARD Vincent;;;;M THIEBAULT Leevan;
U20 Elite;Saison régulière;21/01/2024;17:45;Gap - Alp'Arena;93006S - GAP / 23001S - 23001S ROUEN HOCKEY ELITE 76;M GRABIT Alexis;M AUMERAS Benjamin;;;;M BAUDRY Florian;
U20 Excellence;Zone sud-est;21/01/2024;18:00;Chambéry - Patinoire d'Agglomération;E0073 - HC Savoie / 82028 - ANNECY;;;M COLOMBIN Florian;;;;M BROLIS Frédéric
U20 Elite;Saison régulière;21/01/2024;18:30;Chamonix - Richard Bozon;E0003 - HC74 U20 Elite / 42003 - Strasbourg U20 élite;M ROMMEVAUX Mikaël;M BERGAMELLI Enzo;;;;M TCHEKACHEV David;
U20 Elite;Saison régulière;21/01/2024;18:30;Anglet - La Barre;72001 - ANGLET HORMADI U20 ELITE / 82007S - U20 Bruleurs de Loups Grenoble;M MARTIN Kylian;M HASPOT David;;;;M DESSOLAIN Franck;
U20 Elite;Saison régulière;21/01/2024;18:40;Lyon - Charlemagne;E0123 - HCLR U20 / E0118 - Entente Alsace Mulhouse Colmar U20 Elite;M GOLICIC Bostjan;M AMAN Matthias;;;;M FONTAINE Gildas;
U20 Elite;Saison régulière;21/01/2024;18:55;Bordeaux - Mériadeck;72003 - Boxers de Bordeaux U20 Elite / 11013 - CERGY-PONTOISE;M TELLIEZ Pascal;M THIERCY Damien;;;;M RIVOIRE Tifaine;
U17 Elite;Saison régulière;21/01/2024;20:00;Neuilly-sur-Marne - Patinoire municipale;11015 - NEUILLY SUR MARNE / 11025 - 11025 EVH91 U17 Elite;;;M ROCHIER Philippe;;;;M MALTAVERNE Christian
Synerglace Ligue Magnus;Saison régulière;23/01/2024;20:00;Nice - Jean Bouin;93008S - NICE SLM / 82007S - BRULEURS DE LOUPS MAGNUS SENIORS;M BARCELO Geoffrey;M GIELLY Guillaume;;;M CREGUT Nicolas;Mme CHEYROUX Alexia;
Synerglace Ligue Magnus;Saison régulière;23/01/2024;20:00;Rouen - Île Lacroix;23001S - 23001S ROUEN HOCKEY ELITE 76 / E0082 - CHAMONIX SLM;M METAIS Jérémy;M YSSEMBOURG Joffrey;;M DURAND Gilles;M RAULINE Jérémy;M CAILLOT Thomas;
Synerglace Ligue Magnus;Saison régulière;23/01/2024;20:15;Amiens - Le Coliseum;22001S - AMIENS HOCKEY ELITE / 72003S - Boxers de Bordeaux;M HAUCHART Alexandre;M DOUCHY Jérémie;;;M BLIEK Damien;M LABOULAIS Maxime;
Synerglace Ligue Magnus;Saison régulière;23/01/2024;20:30;Angers IceParc;52007S - 52007S LES DUCS D'ANGERS / 93003S - Diables Rouges Briançon 93003;M ROHWEDDER Raphaël;M SIMON Thomas;;;M DEHAEN Pierre;M THIEBAULT Leevan;
Synerglace Ligue Magnus;Saison régulière;23/01/2024;20:30;Cergy - Aren'Ice;11013S - LES JOKERS SLM / 93019S - MARSEILLE HOCKEY CLUB;M FROSSARD Philippe;M CADY Quentin;;;M ERNECQ Adrien;M DEBUCHE Cyril;
Synerglace Ligue Magnus;Saison régulière;23/01/2024;20:30;Anglet - La Barre;72001S - ANGLET HORMADI Ligue MAGNUS / 93006S - RAPACES DE GAP;M GARBAY Laurent;M BARTHE Guillaume;;;M LEVASSEUR Sébastien;M FAUVEL Johan;
U17 Elite;Saison régulière;24/01/2024;17:00;Grenoble - Polesud;82007 - BRÛLEURS DE LOUPS U17 ELITE / E0003 - HC74 U17 Elite;M BERGAMELLI Viny;M PELTIER Eliot;;;;M BAUDRY Florian;
U15;Zone Sud-est Saison régulière;24/01/2024;17:00;Annecy - Jean Régis;82028 - ANNECY / E0123 - HCLR;;;;;;;
U20 Elite;Saison régulière;24/01/2024;19:05;Villard-de-Lans - André Ravix;E0161 - ENTENTE FLANDRES 59 / 82022 - 82022 LES OURS DE VILLARD DE LANS U20;M GRABIT Alexis;M TCHEKACHEV David;;;;M BERGAMELLI Enzo;
Division 1;Saison régulière;24/01/2024;20:00;Neuilly-sur-Marne - Patinoire municipale;11015 - NEUILLY SUR MARNE DIVISION 1 / 52005 - D1 Corsaires de Nantes;M PEURIERE Frédéric;M THIBOUVILLE Enguerrand;;M ROUSSELIN Stéphane;M GONCALVES Clément;M DELSARTE Alban;
Synerglace Ligue Magnus;Saison régulière;26/01/2024;20:00;Briançon - René Froger;93003S - Diables Rouges Briançon 93003 / 23001S - 23001S ROUEN HOCKEY ELITE 76;M CREGUT Nicolas;M BRIOLAT Eric;;;M LEVASSEUR Sébastien;M GIELLY Guillaume;
Synerglace Ligue Magnus;Saison régulière;26/01/2024;20:05;Chamonix - Richard Bozon;E0082 - CHAMONIX SLM / 93008S - NICE SLM;M BARCELO Geoffrey;M UGOLINI Quentin;;;M SCOLARI Benjamin;M ZEDE Vincent;
Synerglace Ligue Magnus;Saison régulière;26/01/2024;20:15;Bordeaux - Mériadeck;72003S - Boxers de Bordeaux / 93019S - MARSEILLE HOCKEY CLUB;M ROHWEDDER Raphaël;M SIMON Thomas;;;M PEYRE Julien;M YSSEMBOURG Joffrey;
Synerglace Ligue Magnus;Saison régulière;26/01/2024;20:15;Grenoble - Polesud;82007S - BRULEURS DE LOUPS MAGNUS SENIORS / 72001S - ANGLET HORMADI Ligue MAGNUS;M FURET Yann;M BIOT Thiefen;;;M ERNECQ Adrien;M MARGRY Gwilherm;
Synerglace Ligue Magnus;Saison régulière;26/01/2024;20:30;Angers IceParc;52007S - 52007S LES DUCS D'ANGERS / 11013S - LES JOKERS SLM;M BOURREAU Alexandre;M DEBUCHE Cyril;;;M HAUCHART Alexandre;M GONCALVES Clément;
Synerglace Ligue Magnus;Saison régulière;26/01/2024;20:30;Gap - Alp'Arena;93006S - RAPACES DE GAP / 22001S - AMIENS HOCKEY ELITE;M BARBEZ Nicolas;M CREUX-BEAUGIRAUD Yohann;;;M DEHAEN Pierre;M CONSTANTINEAU Nicolas;
U17 Elite;Saison régulière;27/01/2024;12:05;Bordeaux - Mériadeck;72003 - Boxers de Bordeaux U17 Elite / E0032 - Entente Alsace U17 Elite;M MARTIN Kylian;M BRAUD Tao;;;;M DESSOLAIN Franck;
U17 Elite;Saison régulière;27/01/2024;13:00;Saint-Gervais;E0003 - HC74 U17 Elite / 52007 - ANGERS U17 ELITE;M GOLICIC Bostjan;M L'HEUREUX Marc;;;;M MARGRY Gwilherm;
U17 Excellence;Saison régulière NHDF;27/01/2024;14:00;Cergy - Aren'Ice;11013 - CERGY / E0110 - CAEN - LE HAVRE;;;;;;;
U17 Excellence;Zone ouest saison régulière;27/01/2024;15:15;Rezé;52005 - U17 Corsaires de Nantes / 53001 - BREST;;;M PFIRTER Robin;;;;
U15;Zone Nord-est PO poule basse;27/01/2024;16:30;Cergy - Aren'Ice;82024 - POLE FRANCE / E0161 - FLANDRES;M DEBUCHE Cyril;M PERONNIN Théo;;;;;
U20 Excellence;Zone Nord-est HDF;27/01/2024;16:45;Rouen - Île Lacroix;23001 - ROUEN / E0161 - FLANDRES;;;;;;;
U15;Zone Sud-est Saison régulière;27/01/2024;17:15;Chamonix - Richard Bozon;E0003 - HC 74 3 / E0123 - HCLR 3;;;;;;;
U17 Elite;Saison régulière;27/01/2024;17:35;Caen La Mer;25001 - Caen U17 Elite / 93006 - RAPACES DE GAP U17;M LAPAQUE François;M MAILLARD Hugo;;M BOCQUET Didier;;M GERMOND Matteo;
Division 1;Saison régulière;27/01/2024;18:00;Strasbourg - Iceberg;E0127 - Strasbourg Etoile Noire / 52002 - DOGS DE CHOLET;M ICARD Damien;Mme BONIFACE Anne-Sophie;;;M THORRIGNAC Jason;M BAUDRY Florian;
Division 3;Saison régulière;27/01/2024;18:00;Metz - Ice Arena;41008 - 41008 METZ HOCKEY CLUB / 11030 - Champigny HC;;;M ROCHIER Philippe;;;;M LELIEVRE Thibault
Division 2;Saison régulière;27/01/2024;18:00;Angers IceParc;52007 - ANGERS 2 / 11009 - D2 Courbevoie;M GARDIOL Guillaume;Mme BOURDON Gaëlle;;;;M LABOULAIS Maxime;
Division 1;Saison régulière;27/01/2024;18:00;Nantes - Petit Port;52005 - D1 Corsaires de Nantes / E0066 - Mont-Blanc les Yetis;M ROMMEVAUX Mikaël;M TRONET Pierre;;;;M BAUDOIN Charles;
Division 3;Saison régulière;27/01/2024;18:00;Dammarie-les-Lys - La Cartonnerie;11005 - Caribous de Dammarie-lès-Lys / E0119 - Mulhouse Entente Alsace;;;M KOUROUMA Sakoba;;;;M HATTON Thomas
U15;Zone Sud-est Saison régulière;27/01/2024;18:00;Palais Omnisports Marseille Grand-Est (POMGE);E0218 - MARSEILLE - TOULON / E0073 - HC SAVOIE 2;;;;;;;
U15;Zone Ouest conférence C;27/01/2024;18:00;Anglet - La Barre;72001 - ANGLET HORMADI U15 B / 72003 - Boxers de Bordeaux U15 A;;;;;;;
Division 3;Saison régulière;27/01/2024;18:00;Besançon - Lafayette;43002 - BESANÇON / 26004 - DIJON MHC Division 3;;;M PASIAN Ludovic;;;;M PONCOT Yohann
Division 2;Saison régulière;27/01/2024;18:00;Amnéville - Patinoire Olympique;41004 - Division 2 Amneville / 21005 - REIMS;M PERONNIN Stéphane;Mme TORRIBIO ROUSSELIN Sueva;;M ROUSSELIN Stéphane;;M BERNOUSSI Rayan;
Championnat féminin sénior;Saison régulière;27/01/2024;18:05;Evry - François Le Comte (Agora);11025 - 11025 EVH91 Féminines / 11013 - Cergy Pontoise FEMININES;;;M MALTAVERNE Christian;;;;
U17 Elite;Saison régulière;27/01/2024;18:05;Épinal - Poissompré;41002 - EPINAL / 11015 - NEUILLY SUR MARNE;;;M BERGERON Nicolas;;;;M MONCOZET Christophe
Division 3;Saison régulière;27/01/2024;18:10;Bordeaux - Mériadeck;72003 - Boxers de Bordeaux D3 / 54002 - Stade Poitevin HC Divison 3;;;M BRUNEAU Gérald;;;;M ANTUNES Laurent
Division 3;Saison régulière;27/01/2024;18:15;La Garde - patinoire intercommunale;93012 - D3 Toulon / 91008 - NIMES HOCKEY CLUB;;;M VAISSAIRE Laurent;;;;M HAGOPIAN Didier
Division 3;Saison régulière;27/01/2024;18:15;Orléans - patinoire municipale;24004 - Orléans Division 3 / 24007 - LES REMPARTS DE TOURS Division 3;;;M BAUERLE Damien;;;;M LE ROY Tristan
Division 1;Saison régulière;27/01/2024;18:15;Meudon-la-Forêt - Patinoire municipale;11019 - Comètes de Meudon D1 / 11015 - NEUILLY SUR MARNE DIVISION 1;M COLLIN Jérémie;M THIEBAULT Leevan;;;;M MAUDET Timothée;
U17 Elite;Saison régulière;27/01/2024;18:20;Lyon - Charlemagne;E0123 - HCLR U17 / 11025 - 11025 EVH91 U17 Elite;M BRIOLAT Eric;M MAIGNAN Gwendal;;;;M PICARD Gabriel;
Division 3;Saison régulière;27/01/2024;18:30;Viry-Chatillon - Patinoire des Lacs de l'Essonne;11025 - EVH 91 / 11019 - Comètes de Meudon;;;M BECRET Félicien;;;;M ZAEGEL Guy
U15;Zone Sud-est Saison régulière;27/01/2024;18:30;Saint-Gervais;E0003 - HC 74 2 / 93008 - NICE;;;;;;;
U17 Elite;Saison régulière;27/01/2024;18:30;Boulogne-Billancourt;E0031 - MHC-ACBB U17 Elite / 11013 - U17 élite Cergy Pontoise;Mme PERONNIN Laura;M FAFRED Bastien;;;;M CADY Quentin;
Division 3;Saison régulière;27/01/2024;18:30;Rennes - Le Blizz;53006 - D3 - Rennes / 74001 - BRIVE;;;M MARCHAND Antoine;;;;M CORREIA Aurélien
Division 2;Saison régulière;27/01/2024;18:55;Paris Bercy - Sonja Henie;11007 - D2 Français Volants / 52004 - 52004 - La Roche sur Yon;M BISPO Romain;M SIMON Thomas;;;;M TOCQUEVILLE Florian;
Division 2;Saison régulière;27/01/2024;19:00;Vaujany - Patinoire du pôle sports et loisirs;E0122 - VAUJANY-GRENOBLE / 82015 - LYON DIVISION 2;M GERMANEAUD Bastien;M BERGAMELLI Enzo;;;;M FONTAINE Gildas;
Division 2;Saison régulière;27/01/2024;19:30;Colmar - Patinoire municipale;E0041 - Titans D2 / 22001S - 22001S AMIENS 2;M TURBERT Cédric;M KIRSCHENBAUM Johan;;;;M AMAN Matthias;
Division 1;Saison régulière;27/01/2024;19:30;Dunkerque - Michel Raffoux;E0231 - DUNKERQUE / 41002 - Division 1 Epinal;M AURAT Florian;M SMEECKAERT Aurélien;;;;M MESSIER Nicolas;
U17 Excellence;Saison régulière zone Sud-est;27/01/2024;19:30;Chamonix - Richard Bozon;E0003 - HC 74 / 82028 - ANNECY;;;M MEUNIER Pascal;;;;M BRONDEX Eric
Division 2;Saison régulière;27/01/2024;19:30;Roanne - Fontalon;82018 - ROANNE D2 / 82028 - Annecy Division 2;M GEORGE Yohan;M TCHEKACHEV David;;;;M NEURAZ Steven;
Division 3;Saison régulière;27/01/2024;20:00;Briançon - René Froger;93003 - Diables rouges D3 / 93008 - NICE D3;;;M COLOMBIN Florian;;;;M BROLIS Frédéric
Division 2;Saison régulière;27/01/2024;20:00;Rouen - Île Lacroix;23001 - Rouen Division 2 / 11025 - 11025 EVH91 Division 2;M HERRAULT Romain;M DELSARTE Alban;;;;M YSSEMBOURG Joffrey;
Division 1;Saison régulière;27/01/2024;20:00;Brest - Rïnkla Stadium;53001 - Brest Division 1 / 24007 - LES REMPARTS DE TOURS Division 1;M FESSIER Samuel;M FAUVEL Johan;;;;M GISSLER Louis;
Division 1;Saison régulière;27/01/2024;20:00;Chambéry - Patinoire d'Agglomération;82004S - Éléphants CHAMBERY D1 / 31004 - D2 Valenciennes;M GASNIER Mickaël;M AUMERAS Benjamin;;;;M DONAT-MAGNIN Alexandre;
Division 2;Saison régulière;27/01/2024;20:30;Valence - Le Polygone;82021 - V.H.G. Valence / 82022 - VILLARD DE LANS;M TELLIEZ Pascal;M THIERCY Damien;;;;M NORDMAN Leif;
Division 3;Saison régulière;27/01/2024;20:30;Cergy - Aren'Ice;11013 - Cergy Pontoise D3 / 11014 - Garges Hockey Club D3;;;M PERONNIN Théo;;;;M DEBUCHE Cyril
Division 1;Saison régulière;27/01/2024;20:30;Caen La Mer;25001 - Caen Division 1 / E0065 - HCMA D1;M METAIS Jérémy;M HONORE Romain;;M BOCQUET Didier;;M THIBOUVILLE Enguerrand;
Division 2;Saison régulière;27/01/2024;20:30;Clermont-Ferrand;83001 - HCCA Les Sangliers Arvernes / 73002 - TOULOUSE BLAGNAC;M ROBERT Florian;M VILLARD Vincent;;;;M MERLE Thomas;
Division 3;Saison régulière;27/01/2024;20:30;Patinoire des Courtilles;"11003 - ASNIERES DIVISION 3 / 11001 - Tigres de l'ACBB ""D3""";;;M DUVILLE Guillaume;;;;M FONTENEAU Paul
Division 3;Saison régulière;27/01/2024;20:30;Villard-de-Lans - André Ravix;82022 - 82022 les Ours de Villard de lans / 93016 - Les Castors d'Avignon;;;M HURTH Fabrice;;;;M CATARINO Jean
U17 Elite;Saison régulière;27/01/2024;20:30;Anglet - La Barre;72001 - ANGLET HORMADI U17 ELITE / 11009 - u17 Elite COURBEVOIE;M POPA Adrian;M RIVOIRE Tifaine;;;;M GARCIA LIMA Guido;
